Condition,Description,Recovery Steps
Psoriasis,"Psoriasis is a chronic autoimmune condition characterized by the rapid buildup of skin cells, leading to red, itchy, and scaly patches on the skin.","['Consult dermatologist: Seek professional medical advice for diagnosis and treatment options.', 'Topical treatments: Apply corticosteroids, vitamin D analogs, or retinoids to affected areas.', 'Phototherapy: Expose the skin to controlled amounts of natural or artificial ultraviolet light.', 'Systemic medications: Use oral or injected medications to suppress the immune response and reduce inflammation.']"
Varicose Veins,"Varicose veins are enlarged, twisted veins that often appear blue or dark purple and usually occur in the legs.","['Compression stockings: Wear compression stockings to improve blood flow and reduce swelling.', 'Exercise: Engage in low-impact exercises like walking or swimming to improve circulation.', 'Elevate legs: Keep legs elevated when resting to reduce swelling.', 'Sclerotherapy: Inject a solution into the affected veins to shrink them.', 'Surgery: Undergo surgical procedures like vein stripping or laser therapy for severe cases.']"
Typhoid,"Typhoid fever is a bacterial infection caused by Salmonella typhi, typically spread through contaminated food or water.","['Antibiotics: Take prescribed antibiotics to kill the Salmonella bacteria.', 'Rest: Get plenty of rest to help the body recover.', 'Hydration: Drink fluids to prevent dehydration.', 'Soft diet: Eat easily digestible foods to minimize discomfort.', 'Follow-up tests: Undergo follow-up tests to ensure complete recovery and absence of the bacteria.']"
Chicken Pox,Chicken pox is a highly contagious viral infection characterized by itchy red spots and fluid-filled blisters on the skin.,"['Antiviral medications: Take antiviral drugs to reduce the severity and duration of symptoms.', 'Oatmeal baths: Soak in oatmeal baths to relieve itching and soothe the skin.', 'Calamine lotion: Apply calamine lotion to affected areas to alleviate itching.', 'Rest: Get plenty of rest to support the immune system.', 'Avoid scratching: Prevent scarring and secondary infections by avoiding scratching the blisters.']"
Impetigo,Impetigo is a bacterial skin infection characterized by red sores or blisters that rupture and form yellowish crusts.,"['Antibiotic ointment: Apply antibiotic ointment to affected areas to kill the bacteria.', 'Warm compress: Apply warm, moist compresses to gently remove crusts and promote healing.', 'Gentle cleansing: Cleanse the affected areas with mild soap and water to prevent spread of infection.', 'Oral antibiotics: Take oral antibiotics in severe cases or if the infection has spread.']"
Dengue,"Dengue is a mosquito-borne viral infection that causes flu-like symptoms, including high fever, severe headache, joint and muscle pain, and rash.","['Rest: Get plenty of rest to help the body fight the infection.', 'Hydration: Drink plenty of fluids, such as water, electrolyte solutions, or coconut water, to prevent dehydration.', 'Pain relievers: Take acetaminophen (paracetamol) to reduce fever and relieve pain. Avoid nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen and aspirin, as they can increase the risk of bleeding.', 'Hospitalization: Seek medical care if symptoms worsen or if warning signs of severe dengue develop. Hospitalization may be necessary for close monitoring and supportive care.']"
Fungal Infection,"Fungal infections are caused by fungi and can affect the skin, nails, or internal organs. Common types include athlete's foot, ringworm, and vaginal yeast infections.","['Antifungal medications: Use antifungal creams, ointments, or oral medications to treat the infection.', 'Keep the affected area clean and dry: Practice good hygiene by washing the affected area with soap and water and keeping it dry.', 'Avoid sharing personal items: Prevent the spread of fungal infections by avoiding sharing towels, clothes, or other personal items with infected individuals.']"
Common Cold,"The common cold is a viral infection of the upper respiratory tract that causes symptoms such as runny or stuffy nose, sore throat, cough, sneezing, and mild fever.","['Rest: Get plenty of rest to help the body recover.', 'Hydration: Drink fluids such as water, herbal tea, or clear broth to stay hydrated and soothe a sore throat.', 'Over-the-counter cold medications: Take over-the-counter medications such as decongestants, antihistamines, or pain relievers to relieve symptoms.']"
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, leading to symptoms such as cough, fever, chills, and difficulty breathing.","['Antibiotics: Take prescribed antibiotics to treat bacterial pneumonia. Viral pneumonia may not respond to antibiotics.', 'Rest: Get plenty of rest to help the body recover and conserve energy.', 'Hydration: Drink plenty of fluids to prevent dehydration and loosen mucus in the lungs.', 'Breathing exercises: Practice deep breathing exercises to improve lung function and prevent complications like pneumonia.']"
Dimorphic Hemorrhoids,"Dimorphic hemorrhoids, also known as piles, are swollen veins in the lower rectum and anus that can cause discomfort, pain, itching, and bleeding.","['Over-the-counter creams or ointments: Apply topical treatments containing hydrocortisone or witch hazel to reduce swelling and relieve symptoms.', 'Warm baths: Soak in warm water for 10 to 15 minutes several times a day to alleviate discomfort and promote healing.', 'High-fiber diet: Eat foods rich in fiber to soften stools and reduce straining during bowel movements.', 'Increased water intake: Drink plenty of water to stay hydrated and prevent constipation.', 'Avoid straining during bowel movements: Use gentle wiping motions and avoid prolonged sitting on the toilet to reduce pressure on hemorrhoids.']"
Arthritis,"Arthritis refers to inflammation of one or more joints, leading to pain, stiffness, swelling, and reduced range of motion. Common types include osteoarthritis and rheumatoid arthritis.","['Medications: Take medications such as pain relievers, corticosteroids, DMARDs, or biologic agents to reduce pain and inflammation, slow down joint damage, and improve function.', 'Physical therapy: Engage in exercises and physical therapy to strengthen muscles, improve joint flexibility, and enhance overall function and mobility.', 'Joint protection techniques: Learn and practice joint protection techniques to reduce strain on affected joints during daily activities.', 'Surgery: Consider surgical options such as joint repair, joint replacement, or arthroscopy for severe arthritis that does not respond to conservative treatments.']"
Acne,"Acne is a common skin condition characterized by pimples, blackheads, whiteheads, and inflamed lesions, typically occurring on the face, neck, chest, and back.","['Topical treatments: Use over-the-counter or prescription topical treatments containing ingredients such as benzoyl peroxide, salicylic acid, retinoids, or antibiotics to unclog pores, reduce inflammation, and kill acne-causing bacteria.', 'Oral medications: Take oral medications such as antibiotics, hormonal treatments, or isotretinoin for severe or persistent acne that does not respond to topical treatments.', 'Skincare routine: Follow a gentle skincare routine that includes cleansing the skin twice daily with a mild cleanser, using oil-free and non-comedogenic products, and avoiding excessive scrubbing or picking at acne lesions.']"
Bronchial Asthma,"Bronchial asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to recurrent episodes of wheezing, coughing, chest tightness, and shortness of breath.","['Inhalers: Use prescribed inhalers such as bronchodilators or corticosteroids to relieve acute asthma symptoms, open up narrowed airways, reduce inflammation, and prevent future asthma attacks.', 'Avoid triggers: Identify and avoid triggers such as allergens, air pollutants, tobacco smoke, respiratory infections, exercise, and cold air that can exacerbate asthma symptoms.', 'Asthma action plan: Develop and follow an asthma action plan to monitor symptoms, adjust medications, recognize early signs of worsening asthma, and know when to seek emergency medical care.', 'Emergency inhaler use: Carry a rescue inhaler at all times and use it as needed to quickly relieve asthma symptoms during an asthma attack.']"
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition characterized by elevated blood pressure levels persistently exceeding 130/80 mm Hg.","['Medications: Take prescribed antihypertensive medications such as diuretics, beta-blockers, ACE inhibitors, ARBs, calcium channel blockers, or others to lower blood pressure and reduce the risk of complications.', 'Lifestyle modifications: Adopt healthy lifestyle habits such as following a balanced diet, limiting sodium intake, maintaining a healthy weight, engaging in regular physical activity, moderating alcohol consumption, and quitting smoking.', 'Regular monitoring: Monitor blood pressure regularly at home or at healthcare provider appointments to track progress, assess treatment effectiveness, and detect any changes that may require adjustments in medications or lifestyle interventions.']"
Migraine,"Migraine is a neurological disorder characterized by recurrent episodes of moderate to severe headache, often accompanied by other symptoms such as nausea, vomiting, sensitivity to light and sound, and visual disturbances.","['Pain relievers: Take over-the-counter pain medications at the onset of a migraine attack to alleviate pain and reduce symptoms.', 'Triptans: Use prescription medications called triptans to relieve migraine pain and associated symptoms.', 'Preventive medications: Consider preventive medications for individuals with frequent or severe migraines that do not respond adequately to acute treatments.', 'Identify and avoid triggers: Keep a migraine diary to track potential triggers and take steps to avoid or minimize exposure to triggers whenever possible.']"
Cervical Spondylosis,"Cervical spondylosis, also known as neck arthritis or cervical osteoarthritis, is a degenerative condition of the cervical spine characterized by the wear and tear of the spinal discs, joints, and ligaments.","['Neck exercises: Perform gentle neck exercises and stretches prescribed by a physical therapist to improve flexibility, strengthen neck muscles, and reduce stiffness and pain.', 'Physical therapy: Undergo physical therapy sessions that may include manual therapy, traction, heat or cold therapy, ultrasound, or electrical stimulation to relieve symptoms, improve function, and prevent further deterioration of the cervical spine.', 'Pain management: Use pain-relieving modalities such as over-the-counter or prescription medications, hot or cold packs, or topical analgesics to manage pain and discomfort associated with cervical spondylosis.', 'Surgery: Consider surgical options for individuals with severe symptoms or spinal cord compression that does not respond to conservative treatments.']"
Jaundice,"Jaundice is a condition characterized by yellowing of the skin and whites of the eyes, resulting from an excess of bilirubin in the blood.","[""Rest: Get plenty of rest to support the body's recovery process and conserve energy."", 'Hydration: Drink plenty of fluids to stay hydrated and flush out toxins from the body.', 'Treat underlying cause: Identify and treat the underlying cause of jaundice.', 'Phototherapy (in newborns): Expose newborns with jaundice to special lights to help break down excess bilirubin in the blood.']"
Malaria,"Malaria is a life-threatening mosquito-borne infectious disease caused by Plasmodium parasites, transmitted through the bite of infected female Anopheles mosquitoes.","['Antimalarial medications: Take prescribed antimalarial drugs to treat the infection and prevent complications.', ""Rest: Get plenty of rest to support the body's immune response and recovery process."", 'Hydration: Drink fluids to prevent dehydration, especially if experiencing fever, vomiting, or diarrhea.', 'Follow-up care: Undergo follow-up evaluations to ensure complete clearance of the parasite from the body and prevent relapse.']"
Urinary Tract Infection,"Urinary tract infection (UTI) is a bacterial infection affecting any part of the urinary system, including the kidneys, ureters, bladder, and urethra.","['Antibiotics: Take prescribed antibiotics to kill the bacteria causing the UTI.', 'Increased fluid intake: Drink plenty of water and other fluids to help flush out bacteria from the urinary tract.', 'Urinate frequently: Empty the bladder regularly to prevent the buildup of bacteria.', 'Urinary analgesics: Use over-the-counter urinary analgesics to relieve pain and discomfort during urination.']"
Allergy,"An allergy is an exaggerated immune response to substances that are normally harmless, leading to symptoms such as sneezing, itching, runny nose, watery eyes, skin rash, or anaphylaxis in severe cases.","['Avoid allergens: Identify and avoid triggers or allergens that cause allergic reactions.', 'Medications: Take prescribed or over-the-counter antihistamines, decongestants, nasal corticosteroids, or other allergy medications to relieve symptoms.', 'Allergy shots: Consider allergy immunotherapy (allergy shots) for individuals with severe allergies that do not respond adequately to medications or allergen avoidance.']"
Gastroesophageal Reflux Disease,"Gastroesophageal reflux disease (GERD) is a chronic digestive disorder characterized by acid reflux, heartburn, and regurgitation of stomach contents into the esophagus.","['Dietary modifications: Avoid trigger foods and beverages that can worsen GERD symptoms, such as spicy, acidic, fatty, or fried foods, caffeine, alcohol, and carbonated drinks.', 'Lifestyle changes: Elevate the head of the bed, maintain a healthy weight, avoid lying down after meals, and eat smaller, more frequent meals to reduce acid reflux.', 'Medications: Take over-the-counter or prescription medications such as antacids, H2 receptor antagonists, or proton pump inhibitors to reduce stomach acid production and relieve symptoms.']"
Drug Reaction,"A drug reaction, also known as adverse drug reaction (ADR), is an unintended and harmful response to a medication, resulting from individual sensitivity, overdose, or drug interaction.","['Discontinue medication: Stop taking the medication that caused the adverse reaction.', 'Seek medical attention: Consult a healthcare provider immediately if experiencing severe symptoms or allergic reactions.', 'Symptomatic treatment: Manage symptoms with supportive care, medications, or interventions as needed.', 'Avoid triggering medication: Avoid similar medications or drugs in the same class to prevent recurrence of the adverse reaction.']"
Peptic Ulcer Disease,"Peptic ulcer disease (PUD) is a condition characterized by open sores or ulcers in the lining of the stomach, small intestine, or esophagus, commonly caused by infection with Helicobacter pylori bacteria or long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs).","['Antibiotics: Take prescribed antibiotics to eradicate Helicobacter pylori bacteria if present.', 'Acid-suppressing medications: Use proton pump inhibitors (PPIs) or H2 receptor antagonists to reduce stomach acid production and promote ulcer healing.', 'Avoid irritants: Avoid NSAIDs, aspirin, alcohol, caffeine, and smoking, which can irritate the stomach lining and worsen peptic ulcers.', 'Dietary modifications: Follow a bland, low-fat diet with small, frequent meals to reduce gastric irritation and promote healing.']"
Diabetes,"Diabetes mellitus is a chronic metabolic disorder characterized by high blood sugar levels (hyperglycemia) resulting from defects in insulin production, insulin action, or both.","['Blood sugar monitoring: Monitor blood glucose levels regularly using a blood glucose meter to track control and make adjustments to treatment.', 'Insulin or oral medications: Take prescribed insulin injections or oral antidiabetic medications to control blood sugar levels and prevent complications.', 'Healthy lifestyle habits: Adopt a healthy diet, engage in regular physical activity, maintain a healthy weight, avoid tobacco use, limit alcohol consumption, and manage stress to manage diabetes effectively.', 'Regular medical checkups: Visit healthcare providers regularly for comprehensive diabetes management, including screenings, assessments, and adjustments to treatment plans as needed.']"
